Category,Product,Old Price,New Price
Home Appliances,Hisense Bottom Freezer 326L,"R3,200","R8,499"
Home Appliances,Hisense Front Loader 9Kg,"R2,500","R7,499"
Home Appliances,Hisense Stainless Steel Dishwasher 12 Place,R700,"R4,999"
Home Appliances,KIC Fridge/Freezer 276L,"R1,600","R5,499"
Home Appliances,LG AI Direct Drive 10.5Kg,"R5,600","R14,999"
Home Appliances,Midea Counter Top Dishwasher 6 Place,"R2,000","R4,999"
Home Appliances,Midea Upright 231L,"R1,450","R4,999"
Home Appliances,Samsung Fridge/Freezer 321L,"R1,800","R6,999"
Home Appliances,Samsung Front Loader 8Kg,R650,"R7,499"
Kitchen Appliances,Bennett Read Digital Microwave 20L,R500,"R1,499"
Kitchen Appliances,Bosch Series 4 Built-in Oven & Hob 60cm,"R4,000","R12,999"
Kitchen Appliances,Defy Oven & Hob Combo 60cm,"R3,100","R7,999"
Kitchen Appliances,Defy Solo Microwave 34L,"R1,800","R3,499"
Kitchen Appliances,Falco Combi Oven & Ceran Hob 60cm,"R2,300","R5,999"
Kitchen Appliances,Hisense Microwave Oven 28L,"R1,100","R2,499"
Kitchen Appliances,Hisense Oven & Hob Set 60cm,"R1,500","R3,999"
Kitchen Appliances,Midea Manual Microwave 20L,R750,"R1,999"
Kitchen Appliances,Samsung Grill Microwave 40L,"R2,200","R4,999"
Kitchen Appliances,Univa U336B Oven & Hob Set 60cm,"R1,200","R2,999"
Laptops & MacBooks,ASUS Vivobook Go 15 512GB,"R1,800","R8,999"
Laptops & MacBooks,Acer Aspire Lite 15 256GB,"R2,000","R7,499"
Laptops & MacBooks,"Apple MacBook Air 13"" (M4) 256GB","R4,800","R22,499"
Laptops & MacBooks,"Apple MacBook Air 13"" (M5) 256GB","R7,400","R26,499"
Laptops & MacBooks,"Apple MacBook Air 15"" (M4) 256GB","R5,500","R26,499"
Laptops & MacBooks,Apple MacBook Neo (A18 Pro) 256GB,"R3,500","R15,999"
Laptops & MacBooks,"Apple MacBook Pro 14"" (M5) 512GB","R13,400","R42,999"
Laptops & MacBooks,Dell Pro 15 Essential 512GB,"R3,800","R10,999"
Laptops & MacBooks,HP 250 G9 512GB,"R1,600","R7,999"
Laptops & MacBooks,Packard Bell Senna R32 Pro Ryzen 3 512GB,"R2,300","R7,999"
Office Equipment,Brother HL-1210W Laser Printer 150 Sheets,R700,"R1,299"
Office Equipment,Canon I-SENYS LBP6030B Laser Printer 150 Sheets,"R1,000","R1,799"
Office Equipment,HP LaserJet M111w Laser Printer 150 Sheets,"R1,150","R1,799"
Office Equipment,Pantum BP2305W Laser Printer 150 Sheets,R600,"R1,199"
Office Equipment,Pantum P2512W Wi-Fi Laser Printer 150 Sheets,R600,"R1,199"
Office Equipment,Xerox B230 Mono Laser Printer 250 Sheets,"R1,450","R2,299"
Smartphones,iPhone 13 Pro Max 256GB,"R3,850","R9,999"
Smartphones,iPhone 14 Pro Max 256GB,"R4,826","R14,999"
Smartphones,iPhone 15 Pro Max 256GB,"R5,740","R22,999"
Smartphones,iPhone 16 Pro Max 256GB,"R6,600","R31,799"
Smartphones,iPhone 17 Pro Max 256GB,"R10,850","R28,999"
TVs,"Hisense 55"" 4K UHD Smart TV","R2,400","R7,999"
TVs,"Hisense 75"" QLED 4K Smart TV","R4,340","R13,999"
TVs,"Hisense 98"" QLED 4K Smart TV","R6,300","R29,999"
TVs,"LG 65"" UHD 4K Smart AI TV","R3,300","R11,999"
TVs,"Samsung 55"" Crystal UHD 4K Smart TV","R1,900","R8,499"
TVs,"Samsung 65"" Neo QLED 4K Smart TV","R4,600","R14,999"
TVs,"Samsung 85"" Crystal UHD 4K Smart TV","R4,900","R17,999"
TVs,"Samsung 98"" Crystal UHD 4K Smart TV","R7,800","R44,999"
TVs,"Skyworth 75"" UHD Android Smart TV","R3,100","R9,999"
TVs,"TCL 55"" QLED Google Smart TV","R2,950","R8,499"
TVs,"TCL 85"" Mini LED Google TV","R5,700","R21,999"
TVs,"Xiaomi 65"" A Pro QLED 4K Smart TV","R3,850","R10,999"
Tablets & Watches,Apple Watch SE (2022) 40mm 32GB,"R1,233","R5,499"
Tablets & Watches,Apple Watch SE 3 40mm 32GB,"R2,500","R5,999"
Tablets & Watches,Apple Watch Series 10 46mm 64GB,"R3,325","R12,499"
Tablets & Watches,Apple Watch Series 11 46mm 64GB,"R2,683","R13,499"
Tablets & Watches,Apple Watch Series 9 45mm 64GB,"R2,783","R10,999"
Tablets & Watches,Apple Watch Ultra 2 49mm 64GB,"R4,150","R17,999"
Tablets & Watches,Apple Watch Ultra 3 49mm 64GB,"R6,450","R20,999"
Tablets & Watches,Apple Watch Ultra 49mm 64GB,"R6,500","R18,999"
Tablets & Watches,"iPad (10th Gen) 10.9"" 64GB","R1,800","R9,499"
Tablets & Watches,"iPad (11th Gen) 11"" 128GB","R3,600","R11,499"
Tablets & Watches,"iPad Air 11"" 128GB","R3,900","R13,599"
Tablets & Watches,"iPad Air 13"" 128GB","R4,400","R17,999"
Tablets & Watches,"iPad Mini 8.3"" 128GB","R2,800","R11,999"
Tablets & Watches,"iPad Pro 11"" 256GB","R5,100","R21,499"
Tablets & Watches,"iPad Pro 13"" 1TB","R8,000","R36,999"
Tablets & Watches,"iPad Pro 13"" 512GB","R6,000","R28,999"
